CurrencyRateID,CurrencyRateDate,FromCurrencyCode,ToCurrencyCode,AverageRate,EndOfDayRate,ModifiedDate
62,Jun  4 2011 12:00AM,USD,JPY,106.11,106.18,Jun  4 2011 12:00AM
63,Jun  4 2011 12:00AM,USD,MXN,9.34,9.34,Jun  4 2011 12:00AM
64,Jun  4 2011 12:00AM,USD,SAR,3.75,3.76,Jun  4 2011 12:00AM
65,Jun  4 2011 12:00AM,USD,VEB,636.25,636.33,Jun  4 2011 12:00AM
66,Jun  5 2011 12:00AM,USD,ARS,1.00,1.00,Jun  5 2011 12:00AM
67,Jun  5 2011 12:00AM,USD,AUD,1.56,1.56,Jun  5 2011 12:00AM
68,Jun  5 2011 12:00AM,USD,BRL,1.93,1.93,Jun  5 2011 12:00AM
69,Jun  5 2011 12:00AM,USD,CAD,1.46,1.46,Jun  5 2011 12:00AM
70,Jun  5 2011 12:00AM,USD,CNY,8.28,8.28,Jun  5 2011 12:00AM
71,Jun  5 2011 12:00AM,USD,DEM,1.90,1.90,Jun  5 2011 12:00AM
72,Jun  5 2011 12:00AM,USD,EUR,0.97,0.97,Jun  5 2011 12:00AM
73,Jun  5 2011 12:00AM,USD,FRF,6.37,6.37,Jun  5 2011 12:00AM
74,Jun  5 2011 12:00AM,USD,GBP,0.62,0.62,Jun  5 2011 12:00AM
75,Jun  5 2011 12:00AM,USD,JPY,106.42,106.40,Jun  5 2011 12:00AM
76,Jun  5 2011 12:00AM,USD,MXN,9.34,9.33,Jun  5 2011 12:00AM
77,Jun  5 2011 12:00AM,USD,SAR,3.75,3.75,Jun  5 2011 12:00AM
78,Jun  5 2011 12:00AM,USD,VEB,636.25,636.25,Jun  5 2011 12:00AM
79,Jun  6 2011 12:00AM,USD,ARS,1.00,1.00,Jun  6 2011 12:00AM
80,Jun  6 2011 12:00AM,USD,AUD,1.56,1.57,Jun  6 2011 12:00AM
81,Jun  6 2011 12:00AM,USD,BRL,1.93,1.94,Jun  6 2011 12:00AM
82,Jun  6 2011 12:00AM,USD,CAD,1.46,1.47,Jun  6 2011 12:00AM
83,Jun  6 2011 12:00AM,USD,CNY,8.28,8.28,Jun  6 2011 12:00AM
84,Jun  6 2011 12:00AM,USD,DEM,1.90,1.90,Jun  6 2011 12:00AM
85,Jun  6 2011 12:00AM,USD,EUR,0.97,0.97,Jun  6 2011 12:00AM
86,Jun  6 2011 12:00AM,USD,FRF,6.37,6.37,Jun  6 2011 12:00AM
87,Jun  6 2011 12:00AM,USD,GBP,0.62,0.62,Jun  6 2011 12:00AM
88,Jun  6 2011 12:00AM,USD,JPY,106.38,106.45,Jun  6 2011 12:00AM
89,Jun  6 2011 12:00AM,USD,MXN,9.34,9.34,Jun  6 2011 12:00AM
90,Jun  6 2011 12:00AM,USD,SAR,3.75,3.76,Jun  6 2011 12:00AM
91,Jun  6 2011 12:00AM,USD,VEB,636.25,636.29,Jun  6 2011 12:00AM
92,Jun  7 2011 12:00AM,USD,ARS,1.00,1.00,Jun  7 2011 12:00AM
93,Jun  7 2011 12:00AM,USD,AUD,1.57,1.57,Jun  7 2011 12:00AM
94,Jun  7 2011 12:00AM,USD,BRL,1.93,1.92,Jun  7 2011 12:00AM
95,Jun  7 2011 12:00AM,USD,CAD,1.46,1.46,Jun  7 2011 12:00AM
96,Jun  7 2011 12:00AM,USD,CNY,8.28,8.28,Jun  7 2011 12:00AM
97,Jun  7 2011 12:00AM,USD,DEM,1.90,1.90,Jun  7 2011 12:00AM
98,Jun  7 2011 12:00AM,USD,EUR,0.97,0.97,Jun  7 2011 12:00AM
99,Jun  7 2011 12:00AM,USD,FRF,6.36,6.36,Jun  7 2011 12:00AM
100,Jun  7 2011 12:00AM,USD,GBP,0.62,0.62,Jun  7 2011 12:00AM
101,Jun  7 2011 12:00AM,USD,JPY,105.74,105.72,Jun  7 2011 12:00AM
102,Jun  7 2011 12:00AM,USD,MXN,9.33,9.32,Jun  7 2011 12:00AM
103,Jun  7 2011 12:00AM,USD,SAR,3.75,3.74,Jun  7 2011 12:00AM
104,Jun  7 2011 12:00AM,USD,VEB,636.40,636.32,Jun  7 2011 12:00AM
105,Jun  8 2011 12:00AM,USD,ARS,1.00,1.00,Jun  8 2011 12:00AM
106,Jun  8 2011 12:00AM,USD,AUD,1.57,1.57,Jun  8 2011 12:00AM
107,Jun  8 2011 12:00AM,USD,BRL,1.93,1.93,Jun  8 2011 12:00AM
108,Jun  8 2011 12:00AM,USD,CAD,1.47,1.48,Jun  8 2011 12:00AM
109,Jun  8 2011 12:00AM,USD,CNY,8.28,8.28,Jun  8 2011 12:00AM
110,Jun  8 2011 12:00AM,USD,DEM,1.90,1.90,Jun  8 2011 12:00AM
111,Jun  8 2011 12:00AM,USD,EUR,0.97,0.97,Jun  8 2011 12:00AM
112,Jun  8 2011 12:00AM,USD,FRF,6.36,6.36,Jun  8 2011 12:00AM
113,Jun  8 2011 12:00AM,USD,GBP,0.62,0.62,Jun  8 2011 12:00AM
114,Jun  8 2011 12:00AM,USD,JPY,104.47,104.54,Jun  8 2011 12:00AM
115,Jun  8 2011 12:00AM,USD,MXN,9.34,9.34,Jun  8 2011 12:00AM
116,Jun  8 2011 12:00AM,USD,SAR,3.75,3.76,Jun  8 2011 12:00AM
117,Jun  8 2011 12:00AM,USD,VEB,636.75,636.84,Jun  8 2011 12:00AM
118,Jun  9 2011 12:00AM,USD,ARS,1.00,1.00,Jun  9 2011 12:00AM
119,Jun  9 2011 12:00AM,USD,AUD,1.58,1.58,Jun  9 2011 12:00AM
120,Jun  9 2011 12:00AM,USD,BRL,1.93,1.92,Jun  9 2011 12:00AM
121,Jun  9 2011 12:00AM,USD,CAD,1.47,1.46,Jun  9 2011 12:00AM
122,Jun  9 2011 12:00AM,USD,CNY,8.28,8.28,Jun  9 2011 12:00AM
123,Jun  9 2011 12:00AM,USD,DEM,1.91,1.91,Jun  9 2011 12:00AM
124,Jun  9 2011 12:00AM,USD,EUR,0.98,0.98,Jun  9 2011 12:00AM
125,Jun  9 2011 12:00AM,USD,FRF,6.41,6.41,Jun  9 2011 12:00AM
126,Jun  9 2011 12:00AM,USD,GBP,0.62,0.62,Jun  9 2011 12:00AM
127,Jun  9 2011 12:00AM,USD,JPY,104.56,104.55,Jun  9 2011 12:00AM
128,Jun  9 2011 12:00AM,USD,MXN,9.31,9.30,Jun  9 2011 12:00AM
129,Jun  9 2011 12:00AM,USD,SAR,3.75,3.75,Jun  9 2011 12:00AM
130,Jun  9 2011 12:00AM,USD,VEB,637.25,637.17,Jun  9 2011 12:00AM
131,Jun 10 2011 12:00AM,USD,ARS,1.00,1.00,Jun 10 2011 12:00AM
132,Jun 10 2011 12:00AM,USD,AUD,1.58,1.58,Jun 10 2011 12:00AM
133,Jun 10 2011 12:00AM,USD,BRL,1.93,1.93,Jun 10 2011 12:00AM
134,Jun 10 2011 12:00AM,USD,CAD,1.47,1.47,Jun 10 2011 12:00AM
135,Jun 10 2011 12:00AM,USD,CNY,8.24,8.24,Jun 10 2011 12:00AM
136,Jun 10 2011 12:00AM,USD,DEM,1.92,1.92,Jun 10 2011 12:00AM
137,Jun 10 2011 12:00AM,USD,EUR,0.98,0.98,Jun 10 2011 12:00AM
138,Jun 10 2011 12:00AM,USD,FRF,6.44,6.44,Jun 10 2011 12:00AM
139,Jun 10 2011 12:00AM,USD,GBP,0.62,0.62,Jun 10 2011 12:00AM
140,Jun 10 2011 12:00AM,USD,JPY,104.41,104.46,Jun 10 2011 12:00AM
141,Jun 10 2011 12:00AM,USD,MXN,9.31,9.31,Jun 10 2011 12:00AM
142,Jun 10 2011 12:00AM,USD,SAR,3.75,3.76,Jun 10 2011 12:00AM
143,Jun 10 2011 12:00AM,USD,VEB,637.50,637.57,Jun 10 2011 12:00AM
144,Jun 11 2011 12:00AM,USD,ARS,1.00,1.00,Jun 11 2011 12:00AM
145,Jun 11 2011 12:00AM,USD,AUD,1.57,1.57,Jun 11 2011 12:00AM
146,Jun 11 2011 12:00AM,USD,BRL,1.93,1.92,Jun 11 2011 12:00AM
147,Jun 11 2011 12:00AM,USD,CAD,1.47,1.47,Jun 11 2011 12:00AM
148,Jun 11 2011 12:00AM,USD,CNY,8.24,8.24,Jun 11 2011 12:00AM
149,Jun 11 2011 12:00AM,USD,DEM,1.93,1.93,Jun 11 2011 12:00AM
150,Jun 11 2011 12:00AM,USD,EUR,0.99,0.99,Jun 11 2011 12:00AM
151,Jun 11 2011 12:00AM,USD,FRF,6.47,6.47,Jun 11 2011 12:00AM
152,Jun 11 2011 12:00AM,USD,GBP,0.62,0.62,Jun 11 2011 12:00AM
153,Jun 11 2011 12:00AM,USD,JPY,103.99,103.91,Jun 11 2011 12:00AM
154,Jun 11 2011 12:00AM,USD,MXN,9.36,9.35,Jun 11 2011 12:00AM
155,Jun 11 2011 12:00AM,USD,SAR,3.75,3.75,Jun 11 2011 12:00AM
156,Jun 11 2011 12:00AM,USD,VEB,637.75,637.75,Jun 11 2011 12:00AM
157,Jun 12 2011 12:00AM,USD,ARS,1.00,1.00,Jun 12 2011 12:00AM
158,Jun 12 2011 12:00AM,USD,AUD,1.57,1.57,Jun 12 2011 12:00AM
159,Jun 12 2011 12:00AM,USD,BRL,1.92,1.93,Jun 12 2011 12:00AM
160,Jun 12 2011 12:00AM,USD,CAD,1.47,1.47,Jun 12 2011 12:00AM
161,Jun 12 2011 12:00AM,USD,CNY,8.24,8.24,Jun 12 2011 12:00AM
162,Jun 12 2011 12:00AM,USD,DEM,1.92,1.92,Jun 12 2011 12:00AM
163,Jun 12 2011 12:00AM,USD,EUR,0.98,0.98,Jun 12 2011 12:00AM
164,Jun 12 2011 12:00AM,USD,FRF,6.45,6.45,Jun 12 2011 12:00AM
165,Jun 12 2011 12:00AM,USD,GBP,0.62,0.62,Jun 12 2011 12:00AM
166,Jun 12 2011 12:00AM,USD,JPY,101.85,101.92,Jun 12 2011 12:00AM
167,Jun 12 2011 12:00AM,USD,MXN,9.36,9.36,Jun 12 2011 12:00AM
168,Jun 12 2011 12:00AM,USD,SAR,3.75,3.75,Jun 12 2011 12:00AM
169,Jun 12 2011 12:00AM,USD,VEB,638.50,638.58,Jun 12 2011 12:00AM
170,Jun 13 2011 12:00AM,USD,ARS,1.00,1.00,Jun 13 2011 12:00AM
171,Jun 13 2011 12:00AM,USD,AUD,1.58,1.58,Jun 13 2011 12:00AM
172,Jun 13 2011 12:00AM,USD,BRL,1.92,1.92,Jun 13 2011 12:00AM
173,Jun 13 2011 12:00AM,USD,CAD,1.47,1.46,Jun 13 2011 12:00AM
174,Jun 13 2011 12:00AM,USD,CNY,8.24,8.24,Jun 13 2011 12:00AM
175,Jun 13 2011 12:00AM,USD,DEM,1.93,1.93,Jun 13 2011 12:00AM
176,Jun 13 2011 12:00AM,USD,EUR,0.98,0.98,Jun 13 2011 12:00AM
177,Jun 13 2011 12:00AM,USD,FRF,6.46,6.46,Jun 13 2011 12:00AM
178,Jun 13 2011 12:00AM,USD,GBP,0.62,0.62,Jun 13 2011 12:00AM
179,Jun 13 2011 12:00AM,USD,JPY,102.55,102.49,Jun 13 2011 12:00AM
180,Jun 13 2011 12:00AM,USD,MXN,9.36,9.36,Jun 13 2011 12:00AM
181,Jun 13 2011 12:00AM,USD,SAR,3.75,3.74,Jun 13 2011 12:00AM
182,Jun 13 2011 12:00AM,USD,VEB,638.50,638.42,Jun 13 2011 12:00AM
183,Jun 14 2011 12:00AM,USD,ARS,1.00,1.00,Jun 14 2011 12:00AM
184,Jun 14 2011 12:00AM,USD,AUD,1.57,1.57,Jun 14 2011 12:00AM
185,Jun 14 2011 12:00AM,USD,BRL,1.92,1.93,Jun 14 2011 12:00AM
186,Jun 14 2011 12:00AM,USD,CAD,1.47,1.47,Jun 14 2011 12:00AM
187,Jun 14 2011 12:00AM,USD,CNY,8.24,8.24,Jun 14 2011 12:00AM
188,Jun 14 2011 12:00AM,USD,DEM,1.93,1.94,Jun 14 2011 12:00AM
189,Jun 14 2011 12:00AM,USD,EUR,0.99,0.99,Jun 14 2011 12:00AM
190,Jun 14 2011 12:00AM,USD,FRF,6.49,6.49,Jun 14 2011 12:00AM
191,Jun 14 2011 12:00AM,USD,GBP,0.62,0.62,Jun 14 2011 12:00AM
192,Jun 14 2011 12:00AM,USD,JPY,102.33,102.39,Jun 14 2011 12:00AM
193,Jun 14 2011 12:00AM,USD,MXN,9.35,9.35,Jun 14 2011 12:00AM
194,Jun 14 2011 12:00AM,USD,SAR,3.75,3.76,Jun 14 2011 12:00AM
195,Jun 14 2011 12:00AM,USD,VEB,638.50,638.53,Jun 14 2011 12:00AM
196,Jun 15 2011 12:00AM,USD,ARS,1.00,1.00,Jun 15 2011 12:00AM
197,Jun 15 2011 12:00AM,USD,AUD,1.57,1.57,Jun 15 2011 12:00AM
198,Jun 15 2011 12:00AM,USD,BRL,1.92,1.91,Jun 15 2011 12:00AM
199,Jun 15 2011 12:00AM,USD,CAD,1.47,1.47,Jun 15 2011 12:00AM
200,Jun 15 2011 12:00AM,USD,CNY,8.24,8.24,Jun 15 2011 12:00AM
201,Jun 15 2011 12:00AM,USD,DEM,1.94,1.94,Jun 15 2011 12:00AM
202,Jun 15 2011 12:00AM,USD,EUR,0.99,0.99,Jun 15 2011 12:00AM
203,Jun 15 2011 12:00AM,USD,FRF,6.50,6.50,Jun 15 2011 12:00AM
204,Jun 15 2011 12:00AM,USD,GBP,0.63,0.62,Jun 15 2011 12:00AM
205,Jun 15 2011 12:00AM,USD,JPY,102.09,102.06,Jun 15 2011 12:00AM
206,Jun 15 2011 12:00AM,USD,MXN,9.35,9.34,Jun 15 2011 12:00AM
207,Jun 15 2011 12:00AM,USD,SAR,3.75,3.75,Jun 15 2011 12:00AM
208,Jun 15 2011 12:00AM,USD,VEB,638.50,638.50,Jun 15 2011 12:00AM
209,Jun 16 2011 12:00AM,USD,ARS,1.00,1.00,Jun 16 2011 12:00AM
210,Jun 16 2011 12:00AM,USD,AUD,1.57,1.57,Jun 16 2011 12:00AM
211,Jun 16 2011 12:00AM,USD,BRL,1.92,1.93,Jun 16 2011 12:00AM
212,Jun 16 2011 12:00AM,USD,CAD,1.47,1.48,Jun 16 2011 12:00AM
213,Jun 16 2011 12:00AM,USD,CNY,8.24,8.24,Jun 16 2011 12:00AM
214,Jun 16 2011 12:00AM,USD,DEM,1.94,1.94,Jun 16 2011 12:00AM
215,Jun 16 2011 12:00AM,USD,EUR,0.99,0.99,Jun 16 2011 12:00AM
216,Jun 16 2011 12:00AM,USD,FRF,6.50,6.50,Jun 16 2011 12:00AM
217,Jun 16 2011 12:00AM,USD,GBP,0.63,0.63,Jun 16 2011 12:00AM
218,Jun 16 2011 12:00AM,USD,JPY,102.34,102.41,Jun 16 2011 12:00AM
219,Jun 16 2011 12:00AM,USD,MXN,9.35,9.35,Jun 16 2011 12:00AM
220,Jun 16 2011 12:00AM,USD,SAR,3.75,3.75,Jun 16 2011 12:00AM
221,Jun 16 2011 12:00AM,USD,VEB,638.50,638.55,Jun 16 2011 12:00AM
222,Jun 17 2011 12:00AM,USD,ARS,1.00,1.00,Jun 17 2011 12:00AM
223,Jun 17 2011 12:00AM,USD,AUD,1.58,1.58,Jun 17 2011 12:00AM
224,Jun 17 2011 12:00AM,USD,BRL,1.92,1.92,Jun 17 2011 12:00AM
225,Jun 17 2011 12:00AM,USD,CAD,1.48,1.47,Jun 17 2011 12:00AM
226,Jun 17 2011 12:00AM,USD,CNY,8.24,8.24,Jun 17 2011 12:00AM
227,Jun 17 2011 12:00AM,USD,DEM,1.94,1.94,Jun 17 2011 12:00AM
228,Jun 17 2011 12:00AM,USD,EUR,0.99,0.99,Jun 17 2011 12:00AM
229,Jun 17 2011 12:00AM,USD,FRF,6.52,6.52,Jun 17 2011 12:00AM
230,Jun 17 2011 12:00AM,USD,GBP,0.63,0.62,Jun 17 2011 12:00AM
231,Jun 17 2011 12:00AM,USD,JPY,102.57,102.54,Jun 17 2011 12:00AM
232,Jun 17 2011 12:00AM,USD,MXN,9.35,9.35,Jun 17 2011 12:00AM
233,Jun 17 2011 12:00AM,USD,SAR,3.75,3.74,Jun 17 2011 12:00AM
234,Jun 17 2011 12:00AM,USD,VEB,638.50,638.48,Jun 17 2011 12:00AM
235,Jun 18 2011 12:00AM,USD,ARS,1.00,1.00,Jun 18 2011 12:00AM
236,Jun 18 2011 12:00AM,USD,AUD,1.58,1.58,Jun 18 2011 12:00AM
237,Jun 18 2011 12:00AM,USD,BRL,1.92,1.93,Jun 18 2011 12:00AM
238,Jun 18 2011 12:00AM,USD,CAD,1.48,1.49,Jun 18 2011 12:00AM
239,Jun 18 2011 12:00AM,USD,CNY,8.24,8.24,Jun 18 2011 12:00AM
240,Jun 18 2011 12:00AM,USD,DEM,1.95,1.95,Jun 18 2011 12:00AM
241,Jun 18 2011 12:00AM,USD,EUR,1.00,1.00,Jun 18 2011 12:00AM
242,Jun 18 2011 12:00AM,USD,FRF,6.55,6.55,Jun 18 2011 12:00AM
243,Jun 18 2011 12:00AM,USD,GBP,0.62,0.63,Jun 18 2011 12:00AM
244,Jun 18 2011 12:00AM,USD,JPY,102.47,102.48,Jun 18 2011 12:00AM
245,Jun 18 2011 12:00AM,USD,MXN,9.35,9.36,Jun 18 2011 12:00AM
246,Jun 18 2011 12:00AM,USD,SAR,3.75,3.76,Jun 18 2011 12:00AM
247,Jun 18 2011 12:00AM,USD,VEB,638.50,638.51,Jun 18 2011 12:00AM
248,Jun 19 2011 12:00AM,USD,ARS,1.00,1.00,Jun 19 2011 12:00AM
249,Jun 19 2011 12:00AM,USD,AUD,1.58,1.58,Jun 19 2011 12:00AM
250,Jun 19 2011 12:00AM,USD,BRL,1.92,1.92,Jun 19 2011 12:00AM
251,Jun 19 2011 12:00AM,USD,CAD,1.48,1.48,Jun 19 2011 12:00AM
252,Jun 19 2011 12:00AM,USD,CNY,8.24,8.24,Jun 19 2011 12:00AM
253,Jun 19 2011 12:00AM,USD,DEM,1.95,1.95,Jun 19 2011 12:00AM
254,Jun 19 2011 12:00AM,USD,EUR,1.00,1.00,Jun 19 2011 12:00AM
255,Jun 19 2011 12:00AM,USD,FRF,6.55,6.55,Jun 19 2011 12:00AM
256,Jun 19 2011 12:00AM,USD,GBP,0.62,0.62,Jun 19 2011 12:00AM
257,Jun 19 2011 12:00AM,USD,JPY,102.85,102.78,Jun 19 2011 12:00AM
258,Jun 19 2011 12:00AM,USD,MXN,9.35,9.35,Jun 19 2011 12:00AM
259,Jun 19 2011 12:00AM,USD,SAR,3.75,3.75,Jun 19 2011 12:00AM
260,Jun 19 2011 12:00AM,USD,VEB,638.50,638.43,Jun 19 2011 12:00AM
261,Jun 20 2011 12:00AM,USD,ARS,1.00,1.00,Jun 20 2011 12:00AM
262,Jun 20 2011 12:00AM,USD,AUD,1.58,1.58,Jun 20 2011 12:00AM
263,Jun 20 2011 12:00AM,USD,BRL,1.92,1.93,Jun 20 2011 12:00AM
264,Jun 20 2011 12:00AM,USD,CAD,1.48,1.49,Jun 20 2011 12:00AM
265,Jun 20 2011 12:00AM,USD,CNY,8.24,8.24,Jun 20 2011 12:00AM
266,Jun 20 2011 12:00AM,USD,DEM,1.95,1.95,Jun 20 2011 12:00AM
267,Jun 20 2011 12:00AM,USD,EUR,1.00,1.00,Jun 20 2011 12:00AM
268,Jun 20 2011 12:00AM,USD,FRF,6.54,6.54,Jun 20 2011 12:00AM
269,Jun 20 2011 12:00AM,USD,GBP,0.62,0.63,Jun 20 2011 12:00AM
270,Jun 20 2011 12:00AM,USD,JPY,102.71,102.80,Jun 20 2011 12:00AM
271,Jun 20 2011 12:00AM,USD,MXN,9.35,9.35,Jun 20 2011 12:00AM
272,Jun 20 2011 12:00AM,USD,SAR,3.75,3.75,Jun 20 2011 12:00AM
273,Jun 20 2011 12:00AM,USD,VEB,638.50,638.55,Jun 20 2011 12:00AM
274,Jun 21 2011 12:00AM,USD,ARS,1.00,1.00,Jun 21 2011 12:00AM
275,Jun 21 2011 12:00AM,USD,AUD,1.58,1.58,Jun 21 2011 12:00AM
276,Jun 21 2011 12:00AM,USD,BRL,1.92,1.92,Jun 21 2011 12:00AM
277,Jun 21 2011 12:00AM,USD,CAD,1.48,1.47,Jun 21 2011 12:00AM
278,Jun 21 2011 12:00AM,USD,CNY,8.24,8.24,Jun 21 2011 12:00AM
279,Jun 21 2011 12:00AM,USD,DEM,1.93,1.93,Jun 21 2011 12:00AM
280,Jun 21 2011 12:00AM,USD,EUR,0.99,0.98,Jun 21 2011 12:00AM
281,Jun 21 2011 12:00AM,USD,FRF,6.46,6.46,Jun 21 2011 12:00AM
282,Jun 21 2011 12:00AM,USD,GBP,0.62,0.62,Jun 21 2011 12:00AM
283,Jun 21 2011 12:00AM,USD,JPY,102.43,102.40,Jun 21 2011 12:00AM
284,Jun 21 2011 12:00AM,USD,MXN,9.35,9.34,Jun 21 2011 12:00AM
285,Jun 21 2011 12:00AM,USD,SAR,3.75,3.75,Jun 21 2011 12:00AM
286,Jun 21 2011 12:00AM,USD,VEB,638.50,638.46,Jun 21 2011 12:00AM
287,Jun 22 2011 12:00AM,USD,ARS,1.00,1.00,Jun 22 2011 12:00AM
288,Jun 22 2011 12:00AM,USD,AUD,1.57,1.57,Jun 22 2011 12:00AM
289,Jun 22 2011 12:00AM,USD,BRL,1.92,1.93,Jun 22 2011 12:00AM
290,Jun 22 2011 12:00AM,USD,CAD,1.48,1.48,Jun 22 2011 12:00AM
291,Jun 22 2011 12:00AM,USD,CNY,8.24,8.24,Jun 22 2011 12:00AM
292,Jun 22 2011 12:00AM,USD,DEM,1.91,1.91,Jun 22 2011 12:00AM
293,Jun 22 2011 12:00AM,USD,EUR,0.98,0.98,Jun 22 2011 12:00AM
294,Jun 22 2011 12:00AM,USD,FRF,6.42,6.42,Jun 22 2011 12:00AM
295,Jun 22 2011 12:00AM,USD,GBP,0.62,0.62,Jun 22 2011 12:00AM
296,Jun 22 2011 12:00AM,USD,JPY,102.80,102.85,Jun 22 2011 12:00AM
