CurrencyCode,Name,ModifiedDate
SGD,Singapore Dollar,Apr 30 2008 12:00AM
SIT,Tolar,Apr 30 2008 12:00AM
SKK,Slovak Koruna,Apr 30 2008 12:00AM
SVC,El Salvador Colon,Apr 30 2008 12:00AM
THB,Baht,Apr 30 2008 12:00AM
TND,Tunisian Dinar,Apr 30 2008 12:00AM
TRL,Turkish Lira,Apr 30 2008 12:00AM
TTD,Trinidad and Tobago Dollar,Apr 30 2008 12:00AM
TWD,New Taiwan Dollar,Apr 30 2008 12:00AM
USD,US Dollar,Apr 30 2008 12:00AM
UYU,Uruguayan Peso,Apr 30 2008 12:00AM
VEB,Bolivar,Apr 30 2008 12:00AM
VND,Dong,Apr 30 2008 12:00AM
XOF,CFA Franc BCEAO,Apr 30 2008 12:00AM
ZAR,Rand,Apr 30 2008 12:00AM
ZWD,Zimbabwe Dollar,Apr 30 2008 12:00AM
