PurchaseOrderID,PurchaseOrderDetailID,DueDate,OrderQty,ProductID,UnitPrice,LineTotal,ReceivedQty,RejectedQty,StockedQty,ModifiedDate
18,38,Dec 29 2011 12:00AM,60,493,57.15,3429.09,60.00,0.00,60.00,Dec 22 2011 12:00AM
18,39,Dec 29 2011 12:00AM,60,494,53.20,3192.21,60.00,0.00,60.00,Dec 22 2011 12:00AM
18,40,Dec 29 2011 12:00AM,60,495,63.69,3821.58,60.00,0.00,60.00,Dec 22 2011 12:00AM
18,41,Dec 29 2011 12:00AM,60,496,48.91,2934.54,60.00,0.00,60.00,Dec 22 2011 12:00AM
19,42,Dec 29 2011 12:00AM,550,908,21.09,11601.98,550.00,0.00,550.00,Dec 22 2011 12:00AM
19,43,Dec 29 2011 12:00AM,550,909,30.44,16741.73,550.00,0.00,550.00,Dec 22 2011 12:00AM
19,44,Dec 29 2011 12:00AM,550,910,40.94,22516.73,550.00,0.00,550.00,Dec 22 2011 12:00AM
19,45,Dec 29 2011 12:00AM,550,911,21.09,11601.98,550.00,0.00,550.00,Dec 22 2011 12:00AM
19,46,Dec 29 2011 12:00AM,550,912,30.44,16741.73,550.00,0.00,550.00,Dec 22 2011 12:00AM
20,47,Dec 29 2011 12:00AM,60,506,9.20,551.88,60.00,0.00,60.00,Dec 22 2011 12:00AM
21,48,Dec 29 2011 12:00AM,550,351,5.78,3176.25,550.00,0.00,550.00,Dec 22 2011 12:00AM
21,49,Dec 29 2011 12:00AM,550,352,1.16,635.25,550.00,0.00,550.00,Dec 22 2011 12:00AM
21,50,Dec 29 2011 12:00AM,550,679,5.78,3176.25,550.00,27.00,523.00,Dec 22 2011 12:00AM
22,51,Dec 29 2011 12:00AM,550,507,23.39,12866.70,550.00,82.00,468.00,Dec 22 2011 12:00AM
22,52,Dec 29 2011 12:00AM,550,508,27.65,15205.58,550.00,0.00,550.00,Dec 22 2011 12:00AM
23,53,Dec 29 2011 12:00AM,550,355,1.37,750.75,550.00,0.00,550.00,Dec 22 2011 12:00AM
23,54,Dec 29 2011 12:00AM,550,940,62.99,34644.23,550.00,0.00,550.00,Dec 22 2011 12:00AM
23,55,Dec 29 2011 12:00AM,550,535,3.49,1917.30,550.00,0.00,550.00,Dec 22 2011 12:00AM
24,56,Dec 29 2011 12:00AM,550,351,6.20,3407.25,550.00,550.00,0.00,Dec 22 2011 12:00AM
24,57,Dec 29 2011 12:00AM,550,352,1.47,808.50,550.00,550.00,0.00,Dec 22 2011 12:00AM
25,58,Dec 29 2011 12:00AM,550,507,22.17,12191.03,550.00,0.00,550.00,Dec 22 2011 12:00AM
25,59,Dec 29 2011 12:00AM,550,508,29.28,16106.48,523.00,0.00,523.00,Dec 22 2011 12:00AM
26,60,Dec 29 2011 12:00AM,3,491,19.98,59.94,3.00,0.00,3.00,Dec 22 2011 12:00AM
27,61,Dec 29 2011 12:00AM,3,341,41.17,123.51,3.00,0.00,3.00,Dec 22 2011 12:00AM
27,62,Dec 29 2011 12:00AM,3,342,39.07,117.21,3.00,0.00,3.00,Dec 22 2011 12:00AM
27,63,Dec 29 2011 12:00AM,3,343,43.34,130.03,3.00,0.00,3.00,Dec 22 2011 12:00AM
27,64,Dec 29 2011 12:00AM,3,344,39.07,117.21,3.00,0.00,3.00,Dec 22 2011 12:00AM
27,65,Dec 29 2011 12:00AM,3,345,36.97,110.91,3.00,0.00,3.00,Dec 22 2011 12:00AM
27,66,Dec 29 2011 12:00AM,3,346,41.24,123.73,3.00,0.00,3.00,Dec 22 2011 12:00AM
28,67,Dec 29 2011 12:00AM,550,935,31.49,17319.23,550.00,0.00,550.00,Dec 22 2011 12:00AM
28,68,Dec 29 2011 12:00AM,550,936,48.29,26559.23,550.00,0.00,550.00,Dec 22 2011 12:00AM
29,69,Jan 22 2012 12:00AM,3,375,43.34,130.03,3.00,0.00,3.00,Jan 15 2012 12:00AM
29,70,Jan 22 2012 12:00AM,3,376,39.07,117.21,3.00,0.00,3.00,Jan 15 2012 12:00AM
29,71,Jan 22 2012 12:00AM,3,377,36.97,110.91,3.00,0.00,3.00,Jan 15 2012 12:00AM
29,72,Jan 22 2012 12:00AM,3,378,41.24,123.73,3.00,0.00,3.00,Jan 15 2012 12:00AM
29,73,Jan 22 2012 12:00AM,3,379,36.97,110.91,3.00,0.00,3.00,Jan 15 2012 12:00AM
30,74,Jan 22 2012 12:00AM,550,476,15.89,8737.58,550.00,0.00,550.00,Jan 15 2012 12:00AM
30,75,Jan 22 2012 12:00AM,550,477,11.67,6416.03,550.00,55.00,495.00,Jan 15 2012 12:00AM
30,76,Jan 22 2012 12:00AM,550,478,11.09,6098.40,550.00,0.00,550.00,Jan 15 2012 12:00AM
31,77,Jan 22 2012 12:00AM,3,402,47.47,142.41,3.00,0.00,3.00,Jan 15 2012 12:00AM
32,78,Jan 22 2012 12:00AM,550,510,23.08,12693.45,550.00,82.00,468.00,Jan 15 2012 12:00AM
32,79,Jan 22 2012 12:00AM,550,511,29.27,16100.70,550.00,0.00,550.00,Jan 15 2012 12:00AM
33,80,Jan 30 2012 12:00AM,3,403,45.37,136.11,3.00,0.00,3.00,Jan 23 2012 12:00AM
33,81,Jan 30 2012 12:00AM,3,404,49.64,148.93,3.00,0.00,3.00,Jan 23 2012 12:00AM
33,82,Jan 30 2012 12:00AM,3,405,45.37,136.11,3.00,0.00,3.00,Jan 23 2012 12:00AM
34,83,Jan 30 2012 12:00AM,550,525,2.32,1276.28,550.00,550.00,0.00,Jan 23 2012 12:00AM
35,84,Jan 30 2012 12:00AM,550,526,3.64,2003.93,550.00,0.00,550.00,Jan 23 2012 12:00AM
36,85,Jan 30 2012 12:00AM,550,908,21.09,11601.98,468.00,0.00,468.00,Jan 23 2012 12:00AM
36,86,Jan 30 2012 12:00AM,550,909,30.44,16741.73,550.00,0.00,550.00,Jan 23 2012 12:00AM
36,87,Jan 30 2012 12:00AM,550,913,40.94,22516.73,550.00,0.00,550.00,Jan 23 2012 12:00AM
37,88,Jan 30 2012 12:00AM,60,356,3.60,216.09,60.00,0.00,60.00,Jan 23 2012 12:00AM
37,89,Jan 30 2012 12:00AM,60,357,3.98,238.77,60.00,0.00,60.00,Jan 23 2012 12:00AM
38,90,Jan 30 2012 12:00AM,550,935,31.49,17319.23,550.00,0.00,550.00,Jan 23 2012 12:00AM
38,91,Jan 30 2012 12:00AM,550,936,48.29,26559.23,550.00,0.00,550.00,Jan 23 2012 12:00AM
39,92,Jan 30 2012 12:00AM,550,524,12.97,7132.13,550.00,0.00,550.00,Jan 23 2012 12:00AM
40,93,Jan 30 2012 12:00AM,550,911,21.09,11601.98,550.00,0.00,550.00,Jan 23 2012 12:00AM
40,94,Jan 30 2012 12:00AM,550,912,30.44,16741.73,550.00,55.00,495.00,Jan 23 2012 12:00AM
41,95,Jan 30 2012 12:00AM,550,910,40.94,22516.73,550.00,0.00,550.00,Jan 23 2012 12:00AM
42,96,Jan 30 2012 12:00AM,550,937,62.99,34644.23,550.00,82.00,468.00,Jan 23 2012 12:00AM
43,97,Jan 30 2012 12:00AM,3,463,47.52,142.57,3.00,0.00,3.00,Jan 23 2012 12:00AM
43,98,Jan 30 2012 12:00AM,3,464,45.42,136.27,3.00,0.00,3.00,Jan 23 2012 12:00AM
43,99,Jan 30 2012 12:00AM,3,465,49.70,149.09,3.00,0.00,3.00,Jan 23 2012 12:00AM
44,100,Jan 30 2012 12:00AM,3,462,47.68,143.04,3.00,3.00,0.00,Jan 23 2012 12:00AM
45,101,Jan 30 2012 12:00AM,550,510,23.40,12872.48,550.00,0.00,550.00,Jan 23 2012 12:00AM
45,102,Jan 30 2012 12:00AM,550,511,27.87,15326.85,523.00,0.00,523.00,Jan 23 2012 12:00AM
46,103,Jan 30 2012 12:00AM,550,527,6.75,3713.33,468.00,0.00,468.00,Jan 23 2012 12:00AM
47,104,Jan 30 2012 12:00AM,550,938,31.49,17319.23,550.00,0.00,550.00,Jan 23 2012 12:00AM
47,105,Jan 30 2012 12:00AM,550,939,48.29,26559.23,550.00,0.00,550.00,Jan 23 2012 12:00AM
47,106,Jan 30 2012 12:00AM,550,509,36.28,19952.63,550.00,0.00,550.00,Jan 23 2012 12:00AM
48,107,Jan 30 2012 12:00AM,60,492,50.75,3044.79,60.00,0.00,60.00,Jan 23 2012 12:00AM
48,108,Jan 30 2012 12:00AM,60,493,58.26,3495.87,60.00,0.00,60.00,Jan 23 2012 12:00AM
48,109,Jan 30 2012 12:00AM,60,494,50.75,3044.79,60.00,0.00,60.00,Jan 23 2012 12:00AM
48,110,Jan 30 2012 12:00AM,60,495,62.93,3775.59,60.00,0.00,60.00,Jan 23 2012 12:00AM
48,111,Jan 30 2012 12:00AM,60,496,49.65,2979.27,60.00,0.00,60.00,Jan 23 2012 12:00AM
49,112,Feb  3 2012 12:00AM,550,523,10.38,5711.48,550.00,0.00,550.00,Jan 27 2012 12:00AM
50,113,Feb  3 2012 12:00AM,3,422,47.68,143.04,3.00,0.00,3.00,Jan 27 2012 12:00AM
50,114,Feb  3 2012 12:00AM,3,423,45.58,136.74,3.00,0.00,3.00,Jan 27 2012 12:00AM
50,115,Feb  3 2012 12:00AM,3,424,49.85,149.56,3.00,0.00,3.00,Jan 27 2012 12:00AM
51,116,Feb  3 2012 12:00AM,3,490,12.72,38.15,3.00,0.00,3.00,Jan 27 2012 12:00AM
51,117,Feb  3 2012 12:00AM,3,491,19.94,59.82,3.00,0.00,3.00,Jan 27 2012 12:00AM
52,118,Feb  3 2012 12:00AM,3,528,38.16,114.47,3.00,0.00,3.00,Jan 27 2012 12:00AM
53,119,Feb  7 2012 12:00AM,3,505,44.22,132.65,3.00,0.00,3.00,Jan 31 2012 12:00AM
54,120,Feb  7 2012 12:00AM,550,938,31.49,17319.23,550.00,550.00,0.00,Jan 31 2012 12:00AM
54,121,Feb  7 2012 12:00AM,550,939,48.29,26559.23,550.00,550.00,0.00,Jan 31 2012 12:00AM
55,122,Feb  7 2012 12:00AM,60,358,6.98,418.95,60.00,0.00,60.00,Jan 31 2012 12:00AM
56,123,Feb  7 2012 12:00AM,3,375,43.27,129.81,3.00,0.00,3.00,Jan 31 2012 12:00AM
56,124,Feb  7 2012 12:00AM,3,376,47.54,142.63,3.00,0.00,3.00,Jan 31 2012 12:00AM
56,125,Feb  7 2012 12:00AM,3,377,43.27,129.81,3.00,0.00,3.00,Jan 31 2012 12:00AM
56,126,Feb  7 2012 12:00AM,3,378,41.17,123.51,3.00,0.00,3.00,Jan 31 2012 12:00AM
57,127,Feb  7 2012 12:00AM,60,356,3.38,202.86,60.00,0.00,60.00,Jan 31 2012 12:00AM
57,128,Feb  7 2012 12:00AM,60,357,4.32,258.93,60.00,0.00,60.00,Jan 31 2012 12:00AM
58,129,Feb  7 2012 12:00AM,3,375,43.27,129.81,3.00,0.00,3.00,Jan 31 2012 12:00AM
58,130,Feb  7 2012 12:00AM,3,376,41.17,123.51,3.00,0.00,3.00,Jan 31 2012 12:00AM
58,131,Feb  7 2012 12:00AM,3,377,45.44,136.33,3.00,0.00,3.00,Jan 31 2012 12:00AM
58,132,Feb  7 2012 12:00AM,3,378,41.17,123.51,3.00,0.00,3.00,Jan 31 2012 12:00AM
58,133,Feb  7 2012 12:00AM,3,379,39.07,117.21,3.00,0.00,3.00,Jan 31 2012 12:00AM
59,134,Feb  7 2012 12:00AM,3,490,12.36,37.08,3.00,0.00,3.00,Jan 31 2012 12:00AM
60,135,Feb  7 2012 12:00AM,550,513,39.20,21558.08,550.00,0.00,550.00,Jan 31 2012 12:00AM
61,136,Feb  7 2012 12:00AM,3,403,45.44,136.33,3.00,0.00,3.00,Jan 31 2012 12:00AM
61,137,Feb  7 2012 12:00AM,3,404,41.17,123.51,3.00,0.00,3.00,Jan 31 2012 12:00AM
61,138,Feb  7 2012 12:00AM,3,405,39.07,117.21,3.00,0.00,3.00,Jan 31 2012 12:00AM
61,139,Feb  7 2012 12:00AM,3,406,43.34,130.03,3.00,0.00,3.00,Jan 31 2012 12:00AM
62,140,Feb  7 2012 12:00AM,550,931,34.87,19178.78,550.00,82.00,468.00,Jan 31 2012 12:00AM
62,141,Feb  7 2012 12:00AM,550,932,39.76,21869.93,550.00,0.00,550.00,Jan 31 2012 12:00AM
63,142,Feb  7 2012 12:00AM,3,422,47.68,143.04,3.00,0.00,3.00,Jan 31 2012 12:00AM
63,143,Feb  7 2012 12:00AM,3,423,45.58,136.74,3.00,0.00,3.00,Jan 31 2012 12:00AM
63,144,Feb  7 2012 12:00AM,3,424,49.85,149.56,3.00,0.00,3.00,Jan 31 2012 12:00AM
64,145,Feb  7 2012 12:00AM,3,341,47.58,142.73,3.00,3.00,0.00,Jan 31 2012 12:00AM
64,146,Feb  7 2012 12:00AM,3,342,45.48,136.43,3.00,3.00,0.00,Jan 31 2012 12:00AM
65,147,Feb  7 2012 12:00AM,550,931,34.35,18890.03,550.00,0.00,550.00,Jan 31 2012 12:00AM
65,148,Feb  7 2012 12:00AM,550,932,39.24,21581.18,523.00,0.00,523.00,Jan 31 2012 12:00AM
66,149,Feb  7 2012 12:00AM,3,341,47.47,142.41,3.00,0.00,3.00,Jan 31 2012 12:00AM
66,150,Feb  7 2012 12:00AM,3,342,45.37,136.11,3.00,0.00,3.00,Jan 31 2012 12:00AM
66,151,Feb  7 2012 12:00AM,3,343,49.64,148.93,3.00,0.00,3.00,Jan 31 2012 12:00AM
66,152,Feb  7 2012 12:00AM,3,344,45.37,136.11,3.00,0.00,3.00,Jan 31 2012 12:00AM
67,153,Feb  7 2012 12:00AM,550,928,32.77,18023.78,550.00,0.00,550.00,Jan 31 2012 12:00AM
67,154,Feb  7 2012 12:00AM,550,929,37.09,20397.30,550.00,0.00,550.00,Jan 31 2012 12:00AM
67,155,Feb  7 2012 12:00AM,550,930,43.04,23671.73,550.00,0.00,550.00,Jan 31 2012 12:00AM
68,156,Feb  7 2012 12:00AM,550,332,10.82,5948.25,550.00,0.00,550.00,Jan 31 2012 12:00AM
69,157,Feb  8 2012 12:00AM,550,948,82.83,45558.98,550.00,0.00,550.00,Feb  1 2012 12:00AM
69,158,Feb  8 2012 12:00AM,550,907,82.83,45558.98,550.00,0.00,550.00,Feb  1 2012 12:00AM
70,159,Feb  8 2012 12:00AM,1250,325,0.21,262.50,1250.00,0.00,1250.00,Feb  1 2012 12:00AM
70,160,Feb  8 2012 12:00AM,1250,326,0.21,262.50,1250.00,125.00,1125.00,Feb  1 2012 12:00AM
71,161,Feb  8 2012 12:00AM,3,320,49.64,148.93,3.00,0.00,3.00,Feb  1 2012 12:00AM
71,162,Feb  8 2012 12:00AM,3,321,44.32,132.96,3.00,0.00,3.00,Feb  1 2012 12:00AM
71,163,Feb  8 2012 12:00AM,60,322,28.70,1721.79,60.00,3.00,57.00,Feb  1 2012 12:00AM
72,164,Feb  8 2012 12:00AM,550,930,42.51,23382.98,550.00,82.00,468.00,Feb  1 2012 12:00AM
72,165,Feb  8 2012 12:00AM,550,921,5.59,3072.30,550.00,0.00,550.00,Feb  1 2012 12:00AM
73,166,Feb 23 2012 12:00AM,60,952,15.74,944.37,60.00,0.00,60.00,Feb 16 2012 12:00AM
74,167,Feb 23 2012 12:00AM,550,933,43.46,23902.73,550.00,550.00,0.00,Feb 16 2012 12:00AM
74,168,Feb 23 2012 12:00AM,550,934,37.62,20691.83,550.00,550.00,0.00,Feb 16 2012 12:00AM
75,169,Feb 23 2012 12:00AM,550,317,29.58,16268.18,550.00,0.00,550.00,Feb 16 2012 12:00AM
75,170,Feb 23 2012 12:00AM,550,318,36.10,19854.45,523.00,0.00,523.00,Feb 16 2012 12:00AM
75,171,Feb 23 2012 12:00AM,550,319,48.58,26720.93,550.00,0.00,550.00,Feb 16 2012 12:00AM
76,172,Feb 23 2012 12:00AM,550,928,32.25,17735.03,468.00,0.00,468.00,Feb 16 2012 12:00AM
76,173,Feb 23 2012 12:00AM,550,929,36.56,20108.55,550.00,0.00,550.00,Feb 16 2012 12:00AM
77,174,Feb 23 2012 12:00AM,550,319,46.42,25531.28,550.00,0.00,550.00,Feb 16 2012 12:00AM
78,175,Feb 23 2012 12:00AM,3,359,47.52,142.57,3.00,0.00,3.00,Feb 16 2012 12:00AM
78,176,Feb 23 2012 12:00AM,3,360,45.42,136.27,3.00,0.00,3.00,Feb 16 2012 12:00AM
78,177,Feb 23 2012 12:00AM,3,361,49.70,149.09,3.00,0.00,3.00,Feb 16 2012 12:00AM
78,178,Feb 23 2012 12:00AM,3,362,45.42,136.27,3.00,0.00,3.00,Feb 16 2012 12:00AM
78,179,Feb 23 2012 12:00AM,3,363,43.32,129.97,3.00,0.00,3.00,Feb 16 2012 12:00AM
79,180,Feb 23 2012 12:00AM,3,2,41.92,125.75,3.00,0.00,3.00,Feb 16 2012 12:00AM
80,181,Feb 23 2012 12:00AM,3,1,50.26,150.79,3.00,0.00,3.00,Feb 16 2012 12:00AM
81,182,Feb 23 2012 12:00AM,3,361,49.85,149.56,3.00,0.00,3.00,Feb 16 2012 12:00AM
81,183,Feb 23 2012 12:00AM,3,362,45.58,136.74,3.00,0.00,3.00,Feb 16 2012 12:00AM
81,184,Feb 23 2012 12:00AM,3,363,43.48,130.44,3.00,0.00,3.00,Feb 16 2012 12:00AM
81,185,Feb 23 2012 12:00AM,3,364,47.75,143.26,3.00,0.00,3.00,Feb 16 2012 12:00AM
82,186,Feb 23 2012 12:00AM,550,530,16.09,8847.30,550.00,82.00,468.00,Feb 16 2012 12:00AM
83,187,Feb 23 2012 12:00AM,3,4,57.03,171.08,3.00,0.00,3.00,Feb 16 2012 12:00AM
84,188,Feb 23 2012 12:00AM,550,512,37.09,20397.30,550.00,550.00,0.00,Feb 16 2012 12:00AM
85,189,Feb 23 2012 12:00AM,550,513,26.60,14628.08,550.00,0.00,550.00,Feb 16 2012 12:00AM
86,190,Feb 23 2012 12:00AM,550,317,27.06,14882.18,468.00,0.00,468.00,Feb 16 2012 12:00AM
86,191,Feb 23 2012 12:00AM,550,318,33.58,18468.45,550.00,0.00,550.00,Feb 16 2012 12:00AM
86,192,Feb 23 2012 12:00AM,550,319,46.06,25334.93,550.00,0.00,550.00,Feb 16 2012 12:00AM
87,193,Feb 23 2012 12:00AM,3,408,47.54,142.63,3.00,0.00,3.00,Feb 16 2012 12:00AM
87,194,Feb 23 2012 12:00AM,3,409,43.27,129.81,3.00,0.00,3.00,Feb 16 2012 12:00AM
87,195,Feb 23 2012 12:00AM,3,410,41.17,123.51,3.00,0.00,3.00,Feb 16 2012 12:00AM
87,196,Feb 23 2012 12:00AM,3,411,45.44,136.33,3.00,0.00,3.00,Feb 16 2012 12:00AM
87,197,Feb 23 2012 12:00AM,3,412,41.17,123.51,3.00,0.00,3.00,Feb 16 2012 12:00AM
87,198,Feb 23 2012 12:00AM,3,413,39.07,117.21,3.00,0.00,3.00,Feb 16 2012 12:00AM
88,199,Feb 23 2012 12:00AM,3,427,47.60,142.79,3.00,0.00,3.00,Feb 16 2012 12:00AM
88,200,Feb 23 2012 12:00AM,3,428,43.32,129.97,3.00,0.00,3.00,Feb 16 2012 12:00AM
88,201,Feb 23 2012 12:00AM,3,429,41.22,123.67,3.00,0.00,3.00,Feb 16 2012 12:00AM
88,202,Feb 23 2012 12:00AM,3,430,45.50,136.49,3.00,0.00,3.00,Feb 16 2012 12:00AM
88,203,Feb 23 2012 12:00AM,3,431,41.22,123.67,3.00,0.00,3.00,Feb 16 2012 12:00AM
89,204,Mar  8 2012 12:00AM,3,320,47.47,142.41,3.00,0.00,3.00,Mar  1 2012 12:00AM
89,205,Mar  8 2012 12:00AM,3,321,42.80,128.39,3.00,0.00,3.00,Mar  1 2012 12:00AM
89,206,Mar  8 2012 12:00AM,60,322,25.42,1525.23,60.00,0.00,60.00,Mar  1 2012 12:00AM
90,207,Mar  8 2012 12:00AM,3,442,43.40,130.19,3.00,0.00,3.00,Mar  1 2012 12:00AM
90,208,Mar  8 2012 12:00AM,3,443,39.12,117.37,3.00,0.00,3.00,Mar  1 2012 12:00AM
90,209,Mar  8 2012 12:00AM,3,444,37.02,111.07,3.00,0.00,3.00,Mar  1 2012 12:00AM
91,210,Mar  8 2012 12:00AM,550,941,62.99,34644.23,550.00,0.00,550.00,Mar  1 2012 12:00AM
92,211,Mar  8 2012 12:00AM,3,320,45.37,136.11,3.00,0.00,3.00,Mar  1 2012 12:00AM
92,212,Mar  8 2012 12:00AM,3,321,40.49,121.46,3.00,0.00,3.00,Mar  1 2012 12:00AM
93,213,Mar 12 2012 12:00AM,3,504,48.76,146.29,3.00,0.00,3.00,Mar  5 2012 12:00AM
94,214,Mar 12 2012 12:00AM,3,497,34.19,102.56,3.00,3.00,0.00,Mar  5 2012 12:00AM
95,215,Mar 12 2012 12:00AM,3,323,50.26,150.79,3.00,0.00,3.00,Mar  5 2012 12:00AM
96,216,Mar 12 2012 12:00AM,550,523,10.73,5902.05,468.00,0.00,468.00,Mar  5 2012 12:00AM
96,217,Mar 12 2012 12:00AM,550,524,14.12,7767.38,550.00,0.00,550.00,Mar  5 2012 12:00AM
97,218,Mar 22 2012 12:00AM,60,492,50.26,3015.81,60.00,0.00,60.00,Mar 15 2012 12:00AM
97,219,Mar 22 2012 12:00AM,60,493,57.15,3429.09,60.00,0.00,60.00,Mar 15 2012 12:00AM
97,220,Mar 22 2012 12:00AM,60,494,53.20,3192.21,60.00,0.00,60.00,Mar 15 2012 12:00AM
97,221,Mar 22 2012 12:00AM,60,495,63.69,3821.58,60.00,0.00,60.00,Mar 15 2012 12:00AM
97,222,Mar 22 2012 12:00AM,60,496,48.91,2934.54,60.00,0.00,60.00,Mar 15 2012 12:00AM
98,223,Mar 22 2012 12:00AM,550,913,40.94,22516.73,550.00,0.00,550.00,Mar 15 2012 12:00AM
98,224,Mar 22 2012 12:00AM,550,914,21.09,11601.98,550.00,0.00,550.00,Mar 15 2012 12:00AM
98,225,Mar 22 2012 12:00AM,550,915,30.44,16741.73,550.00,0.00,550.00,Mar 15 2012 12:00AM
98,226,Mar 22 2012 12:00AM,550,916,40.94,22516.73,550.00,0.00,550.00,Mar 15 2012 12:00AM
99,227,Mar 22 2012 12:00AM,60,506,9.20,551.88,60.00,0.00,60.00,Mar 15 2012 12:00AM
100,228,Mar 22 2012 12:00AM,550,351,5.78,3176.25,550.00,0.00,550.00,Mar 15 2012 12:00AM
100,229,Mar 22 2012 12:00AM,550,352,1.16,635.25,550.00,55.00,495.00,Mar 15 2012 12:00AM
100,230,Mar 22 2012 12:00AM,550,679,5.78,3176.25,550.00,0.00,550.00,Mar 15 2012 12:00AM
101,231,Mar 22 2012 12:00AM,550,507,23.39,12866.70,550.00,0.00,550.00,Mar 15 2012 12:00AM
101,232,Mar 22 2012 12:00AM,550,508,27.65,15205.58,550.00,0.00,550.00,Mar 15 2012 12:00AM
102,233,Mar 22 2012 12:00AM,550,355,1.37,750.75,550.00,82.00,468.00,Mar 15 2012 12:00AM
102,234,Mar 22 2012 12:00AM,550,940,62.99,34644.23,550.00,0.00,550.00,Mar 15 2012 12:00AM
103,235,Mar 22 2012 12:00AM,550,679,6.20,3407.25,550.00,0.00,550.00,Mar 15 2012 12:00AM
104,236,Mar 22 2012 12:00AM,550,507,22.17,12191.03,550.00,550.00,0.00,Mar 15 2012 12:00AM
104,237,Mar 22 2012 12:00AM,550,508,29.28,16106.48,550.00,550.00,0.00,Mar 15 2012 12:00AM
